1.260000000000000000e+02,2.180000000000000000e+02
1.300000000000000000e+02,2.420000000000000000e+02
1.360000000000000000e+02,2.670000000000000000e+02
1.410000000000000000e+02,2.910000000000000000e+02
1.500000000000000000e+02,3.120000000000000000e+02
1.640000000000000000e+02,3.280000000000000000e+02
1.840000000000000000e+02,3.400000000000000000e+02
2.070000000000000000e+02,3.470000000000000000e+02
2.360000000000000000e+02,3.460000000000000000e+02
2.660000000000000000e+02,3.390000000000000000e+02
2.920000000000000000e+02,3.230000000000000000e+02
3.110000000000000000e+02,3.040000000000000000e+02
3.250000000000000000e+02,2.800000000000000000e+02
3.310000000000000000e+02,2.550000000000000000e+02
3.330000000000000000e+02,2.270000000000000000e+02
3.310000000000000000e+02,2.010000000000000000e+02
3.280000000000000000e+02,1.750000000000000000e+02
1.320000000000000000e+02,1.590000000000000000e+02
1.400000000000000000e+02,1.410000000000000000e+02
1.540000000000000000e+02,1.290000000000000000e+02
1.740000000000000000e+02,1.240000000000000000e+02
1.920000000000000000e+02,1.280000000000000000e+02
2.200000000000000000e+02,1.210000000000000000e+02
2.390000000000000000e+02,1.100000000000000000e+02
2.610000000000000000e+02,1.080000000000000000e+02
2.800000000000000000e+02,1.150000000000000000e+02
2.950000000000000000e+02,1.320000000000000000e+02
2.060000000000000000e+02,1.450000000000000000e+02
2.080000000000000000e+02,1.560000000000000000e+02
2.110000000000000000e+02,1.660000000000000000e+02
2.130000000000000000e+02,1.780000000000000000e+02
1.960000000000000000e+02,2.110000000000000000e+02
2.060000000000000000e+02,2.110000000000000000e+02
2.170000000000000000e+02,2.110000000000000000e+02
2.270000000000000000e+02,2.080000000000000000e+02
2.380000000000000000e+02,2.050000000000000000e+02
1.500000000000000000e+02,1.700000000000000000e+02
1.580000000000000000e+02,1.560000000000000000e+02
1.720000000000000000e+02,1.520000000000000000e+02
1.850000000000000000e+02,1.620000000000000000e+02
1.740000000000000000e+02,1.670000000000000000e+02
1.600000000000000000e+02,1.710000000000000000e+02
2.390000000000000000e+02,1.520000000000000000e+02
2.500000000000000000e+02,1.380000000000000000e+02
2.650000000000000000e+02,1.370000000000000000e+02
2.760000000000000000e+02,1.480000000000000000e+02
2.660000000000000000e+02,1.520000000000000000e+02
2.520000000000000000e+02,1.530000000000000000e+02
1.920000000000000000e+02,2.720000000000000000e+02
2.010000000000000000e+02,2.510000000000000000e+02
2.130000000000000000e+02,2.400000000000000000e+02
2.240000000000000000e+02,2.400000000000000000e+02
2.340000000000000000e+02,2.340000000000000000e+02
2.510000000000000000e+02,2.390000000000000000e+02
2.670000000000000000e+02,2.560000000000000000e+02
2.560000000000000000e+02,2.640000000000000000e+02
2.420000000000000000e+02,2.700000000000000000e+02
2.300000000000000000e+02,2.720000000000000000e+02
2.190000000000000000e+02,2.740000000000000000e+02
2.060000000000000000e+02,2.740000000000000000e+02
2.000000000000000000e+02,2.680000000000000000e+02
2.150000000000000000e+02,2.550000000000000000e+02
2.250000000000000000e+02,2.530000000000000000e+02
2.360000000000000000e+02,2.490000000000000000e+02
2.600000000000000000e+02,2.540000000000000000e+02
2.380000000000000000e+02,2.550000000000000000e+02
2.270000000000000000e+02,2.580000000000000000e+02
2.160000000000000000e+02,2.590000000000000000e+02
